authors,citations,documentType,publication,title,type,year,h-index,i10-index,total citations,department,total citations 
FK Alarfaj,6,PDF,Archives of Computational Â,Recent advances in machine learning-based models for prediction of antiviral peptides,ARTICLE,2023.0,11.0,13.0,477.0,Manegement Information Systems,
FK Alarfaj,118,PDF,IEEE Â,Credit card fraud detection using state-of-the-art machine learning and deep learning algorithms,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,57,,Artificial intelligence in Â,cACP-DeepGram: classification of anticancer peptides via deep neural network and skip-gram-based word embedding model,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,27,PDF,Electronics,XAI framework for cardiovascular disease prediction using classification techniques,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,21,PDF,Future Internet,CCrFS: combine correlation features selection for detecting phishing websites using machine learning,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,10,PDF,Applied Sciences,Enhancing the performance of SQL injection attack detection through probabilistic neural networks,ARTICLE,2023.0,,,,Manegement Information Systems,
FK Alarfaj,20,PDF,Molecules,Theoretical Analysis on Absorption of Carbon Dioxide (CO2) into Solutions of Phenyl Glycidyl Ether (PGE) Using Nonlinear Autoregressive Exogenous NeuralÂ Â,ARTICLE,2021.0,,,,Manegement Information Systems,
FK Alarfaj,11,PDF,Symmetry,Application of a machine learning algorithm for evaluation of stiff fractional modeling of polytropic gas spheres and electric circuits,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,0,,Â Methods in Engineering,Comprehensive Analysis of Computational Methods for Predicting Anti-inflammatory Peptides,ARTICLE,2024.0,,,,Manegement Information Systems,
FK Alarfaj,5,PDF,Sustainability,Twitter bot detection using diverse content features and applying machine learning algorithms,ARTICLE,2023.0,,,,Manegement Information Systems,
FK Alarfaj,7,,Computers in Biology and Â,NLP-BCH-Ens: NLP-based intelligent computational model for discrimination of malaria parasite,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,9,,Computers in Biology Â,Target-AMP: Computational prediction of antimicrobial peptides by coupling sequential information with evolutionary profile,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,6,PDF,Sensors,Hybrid clustering and routing algorithm with threshold-based data collection for heterogeneous wireless sensor networks,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,11,PDF,Energies,Numerical analysis of electrohydrodynamic flow in a circular cylindrical conduit by using neuro evolutionary technique,ARTICLE,2021.0,,,,Manegement Information Systems,
FK Alarfaj,5,PDF,Algorithms,Deep Dive into Fake News Detection: Feature-Centric Classification with Ensemble and Deep Learning Methods,ARTICLE,2023.0,,,,Manegement Information Systems,
FK Alarfaj,28,PDF,International Journal of Â,A multilingual datasets repository of the hadith content,PDF,2018.0,,,,Manegement Information Systems,
FK Alarfaj,10,PDF,IEEE Â,Investigation of non-linear MHD JefferyÂHamel blood flow model using a hybrid metaheuristic approach,ARTICLE,2021.0,,,,Manegement Information Systems,
FK Alarfaj,8,PDF,Electronics,A feature-based approach for sentiment quantification using machine learning,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,9,PDF,Advances in Continuous Â,Application of Legendre polynomials based neural networks for the analysis of heat and mass transfer of a non-Newtonian fluid in a porous channel,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,1,PDF,IEEE Â,Opinion Mining from Online Travel Reviews: An Exploratory Investigation on Pakistan Major Online Travel Services Using Natural Language Processing,ARTICLE,2023.0,,,,Manegement Information Systems,
